;0;1;2;3;4;5;6;7
[5.0, 269.0];59.86007130963641;64.89546485966935;74.36034322641271;69.32115862467555;64.5406325437138;68.50245048435536;77.75289713763503;60.09167606347215
[93.0, 269.0];8.001190874876869;12.49726583115428;12.222950642405447;10.406373313616387;-1.8477398241081842;5.14305876086963;81.40404138052533;-1.8632326916426762
[93.0, 357.0];68.2041553355312;56.2882274269747;72.12817505431518;68.93312871880899;73.07943734721509;71.92773522593845;79.45495055372541;68.67556728614453
[181.0, 445.0];70.19059681110944;57.206006466237305;60.699444040789906;56.160478731275845;82.55361014975732;72.05486378462322;61.716284476715195;67.59572992342756
[181.0, 533.0];-0.8899778418780895;6.258565570373907;73.8327312172758;-0.8584236430910293;11.50241716323809;-0.9093763380777435;-0.9098984323561925;6.615004654377735
[269.0, 533.0];12.795701532768678;6.799976943046219;12.69672961582664;80.30419143973984;11.063179697534508;-0.42069939179121896;3.267892386025488;3.4722045383579676
[181.0, 357.0];23.94381303586436;32.42966981454467;81.8698626792419;30.642303440184932;20.48311330598852;3.9534969026561413;29.927179690787614;29.97946582259549
[269.0, 269.0];5.081127597069893;11.728237061221973;6.699936811625616;-1.2153804262276464;-1.1301382997328862;-1.2922897642810165;79.28120994018141;6.668701746630705
[357.0, 93.0];4.714663019009958;20.830095271955848;-0.4593558299521957;9.521138705992445;14.609958398578932;-1.5525065325580734;86.19200652663682;4.596523189426225
[269.0, 93.0];9.878198215026288;-1.7209543316203477;-1.7760043899044815;-1.9121225738139624;-2.054369076534953;-1.8035843515706613;78.49952032765955;-1.826027132849715
[181.0, 93.0];-2.0009531733753416;-1.943497065603349;-1.940476840217841;-1.909463984520348;-1.9213522888366332;-1.9839838501510911;-1.884272554722422;1.184647574401607
[93.0, 181.0];-1.1080573508637905;-1.983128149145243;-1.926875889198229;-1.9431158503731911;-2.0003123636749858;-1.9395737327321383;67.86579378852862;-1.9204348353876424
[5.0, 181.0];3.296205525156158;15.759325897377828;-2.1197270713365377;2.6039031506033847;-0.6937392470739425;2.131934950010187;-2.1740258618219843;75.29881494643897
[5.0, 93.0];-2.192461462580372;33.40451101433521;-2.124311805679562;-2.3067060843242553;-2.1675750162077514;-2.2135945202435723;-2.15832805962387;-2.1366834833694717
[93.0, 93.0];-2.1113145479254922;-2.0884570084653293;-2.0934694993428145;-2.0809466630737306;-2.0517755002956872;-2.0941035902841167;-2.055687041749695;19.687906486516766
[181.0, 181.0];-1.6097226123402315;6.577262344097008;73.5071768657128;9.66623112327093;-1.6883817611357703;-1.1146995388210228;12.078369312180644;10.491477188934189
[445.0, 5.0];43.379009172668326;36.55870029948039;39.06939999739361;30.50080914973865;26.095738973457316;33.22647118070249;87.37192563966464;39.65298827041893
[533.0, 5.0];75.9830484201494;47.24642620022749;91.12571573717285;41.27138966962419;68.77141281147946;62.25005371117884;72.65904699737756;56.611679806468686
[357.0, 5.0];30.544778674662645;16.450190624626128;46.64649937376011;10.447763350976746;5.439414153170324;14.629383667677075;82.41398058993427;18.366822582971036
[269.0, 5.0];14.562128836741788;3.4062693531584936;-2.809709335702647;-2.7898694028618953;66.31980615650389;0.8471719806397671;-2.828078395695129;-1.7624991112811288
[181.0, 5.0];-2.4804452984674614;-2.3879873237685327;4.403003666858158;-2.380281318525699;23.336460505378444;-2.425540835880728;-2.3768081999166113;-2.4015304201317385
[93.0, 5.0];-2.304432317580987;-2.2182724279946457;-2.1498986569876912;-2.140187507344851;-0.6597333535695402;-2.195263638519406;-2.2032741765302974;-2.1471558540998714
[5.0, 357.0];31.28763354080306;16.78165569224506;77.00754059700081;7.428742624066973;11.38127613768372;-2.0197862645886397;16.989220170901692;8.975788300079511
[5.0, 445.0];1.244842209116477;4.862628078576848;5.780058507531737;25.6882369689696;76.93585024733474;5.3928384142168895;-1.6753549229629527;1.2382041683069693
[93.0, 533.0];-1.2835491712281188;-1.3702341658121329;-1.2540677727357077;6.161343145021798;75.97133493931791;-1.2999903417062653;7.308242588747318;-1.3352624464944656
[269.0, 445.0];-0.7564143390880324;7.4176170456606325;5.659427825982492;14.278605595771122;-0.6726239829426237;8.14968030366449;79.82380388068952;12.560510960525233
[357.0, 445.0];-0.219;-0.39;-0.35870322492701834;2.2623091300448364;85.4549486330826;5.514530558963199;0.21143739082322538;-0.2516339852052825
[445.0, 445.0];0.0;-0.11000000000000001;0.0;0.0;0.0;12.44582924245492;-0.1;-0.11000000000000001
[357.0, 269.0];7.671676902961345;8.191657717648553;2.3565175702447165;2.568734983670222;6.682036279966875;1.4720261302064181;87.18136739390589;-0.6148072028277715
[181.0, 269.0];-1.4423227383951964;10.332095991137356;17.706628588201625;10.941007317377036;4.931216280091903;24.74260667268343;83.15406675742183;17.305261047363864
[5.0, 5.0];-2.1428987725149;-2.179585217148448;-2.1696330853707906;-2.107867640249012;-2.131616663134411;-2.119922871291635;-2.204464922039423;-2.1548147405119895
[269.0, 181.0];4.525263532510745;-1.4631811140080704;7.289882019654442;-1.5072731965416075;25.95673040288567;1.5991855443171454;82.79447034967345;15.140899250975142
[621.0, 5.0];90.33318529430626;90.12310505790363;92.65546132264858;87.63451997833089;91.24975088028913;81.08996963945499;91.33825182216212;87.68698277675537
[709.0, 5.0];91.66690103206118;91.70685583565904;92.5779902785616;89.8690634372421;92.27889731423589;90.17442061536829;94.52389064496087;90.01225513847422
[797.0, 5.0];92.3442293920252;92.87633467065973;92.45640315325521;91.31381243602196;92.46828468796697;91.50688332594787;96.02267594558327;91.45922049963232
[797.0, 93.0];93.0421675536889;96.75614941881541;94.58048080573472;73.12839969641234;92.27929921042596;91.33386691257598;93.55554663702043;70.99090150026952
[709.0, 93.0];28.87621516973316;16.844335164144127;33.59182204568952;28.568817040335713;93.33807653102801;8.420195788555295;29.047962300441274;36.26317482066794
[621.0, 93.0];6.629440437970099;-0.3577979509409772;91.91689732620378;-0.2715415033619837;-0.4236389183999193;-0.209651912867991;8.6918912496742;16.610350477687327
[797.0, 181.0];94.63946779228897;77.10701670839505;95.36887357391048;75.74845394114227;94.44072472519032;87.25694290116361;91.07052573909354;98.56908861083495
[709.0, 269.0];87.21013360124232;97.75490905716502;96.77097099882683;87.50965685108184;95.17594782354688;86.81093532331917;88.13411101228898;99.99999999999994
[797.0, 269.0];38.43278586888947;0.7189999999999994;32.384341066971956;96.86878461879047;25.515470511096268;7.080361047502738;-0.19;0.24966651499464784
[709.0, 181.0];16.888716982987432;4.710271472264079;9.199694144095226;1.585712588332397;7.595773524817334;30.150524621055087;25.871644036957267;78.4077919582404
[93.0, 445.0];21.20771710074642;11.406412035741823;16.73797333947136;13.711060787622934;65.18979280112006;29.77297632813748;5.967945921773746;5.630335144879908
[5.0, 533.0];45.24324489181456;-1.4484407596769706;-1.4320942277452007;-1.4538109037750353;4.958573849929334;-1.510747445444155;5.051457386727945;-1.62280172759175
[797.0, 357.0];-0.11000000000000001;0.0;-0.1;-0.1;-0.1;18.477796232723634;-0.1;-0.1
[797.0, 445.0];0.0;0.0;0.0;-0.1;-0.1;0.0;0.0;0.0
[709.0, 445.0];0.0;0.0;-0.1;0.0;0.0;0.0;-0.1;0.0
[709.0, 357.0];-0.1;0.0;0.0;0.0;0.0;12.283202378084745;0.0;0.0
[357.0, 181.0];64.60979002041428;82.46017948328799;83.04136972954798;64.53098603528261;83.22299432288926;62.32593999117609;58.50815522926948;65.1069325135606
[445.0, 93.0];81.68372497266256;85.07579151922188;84.43326357447695;60.106954376638654;86.94247377915552;71.16185500559025;89.66206920852241;79.31259139294107
[533.0, 93.0];86.7288824973982;88.35685722552493;87.87587300328423;72.17594498820765;91.0427459192444;79.41522897825341;89.17177203496306;82.73896484451136
[269.0, 357.0];79.43107488505571;81.15550375638236;77.62656340850276;69.23501336293387;85.35049955414547;55.620497760647204;48.158078372888696;70.80512662255049
[357.0, 357.0];7.98550281502725;-0.39132025484300004;-0.40961631188295056;67.9731034920232;-0.23042739766246123;-0.4936192039367728;-0.027432342569154944;7.9036381730698775
[621.0, 181.0];7.16211999003125;38.23616569844174;92.28314754637226;29.815165387487806;45.06571442372679;0.0;21.901454416308525;14.401900783251122
[445.0, 269.0];6.50936537438796;13.449725352222114;-0.19;33.612135906253144;88.36312278584562;17.216073672242405;-0.3366104938958811;0.8467038183244951
[445.0, 181.0];8.35966891363629;7.071905850182471;-0.3231704051676296;-0.695507969455889;-0.5210281635483287;-0.308535645364035;81.49181423315099;12.9499596515964
goal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[533.0, 269.0];0.0;0.0;3.862250888524038;-0.16102959482349366;0.0;7.540625912007666;0.0;-0.1
[533.0, 181.0];0.0;9.524623914906513;89.3736282481191;-0.35530170374204006;8.200163559671271;0.0;0.1943644892133729;8.273374624322448
[445.0, 357.0];-0.13554399687324614;-0.19;-0.1;3.3312791960104704;0.3276890724486153;12.670307605032985;-0.1;-0.1
[533.0, 357.0];0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0
[533.0, 445.0];-0.10226270661138454;0.0;0.0;0.0;0.0;0.0;0.0;0.0
