;Rewards
0;-150.96492156267144
1;-1696.6549178434211
2;-177.0094470107825
3;-998.099040214299
4;-190.92617376953532
5;-493.4921850614561
6;-143.81309529938827
7;-169.60292512601848
8;-684.0819186057388
9;-126.02749200425455
10;-209.8000758563907
11;-199.73026339710407
12;-273.3707841018461
13;-86.84346423430459
14;13.866861960037753
15;65.64198892168233
16;-226.13807089984238
17;11.708287393091638
18;-220.03876864586232
19;123.57056685095405
20;142.51955883220984
21;-109.36349660149335
22;5.110820655776635
23;4.269724154552861
24;-18.73578936755581
25;-105.8255156257592
26;-223.21474234718153
27;321.57212166105376
28;123.79191676725186
29;36.374292066290465
30;-180.87178832900253
31;107.2742904028409
32;148.21602667805948
33;-148.17733429488564
34;206.32274783594198
35;198.59846923706675
36;232.33139153308565
37;-69.53088235000389
38;-16.68675506615608
39;232.28229958907005
40;272.2095123916706
41;308.99160882791705
42;209.78983395256066
43;350.9232382557437
44;147.42781637327295
45;225.34412071358975
46;299.3963600411786
47;218.19208693270795
48;229.6365558728399
49;164.19838841388773
50;-42.86509434211797
51;282.14632867192427
52;223.89758237791014
53;354.14398506265195
54;377.4454771981381
55;-446.34222568411303
56;482.5584806343858
57;444.59859115710464
58;341.0873426602669
59;180.27647280409252
60;283.5709550421004
61;46.51325867350822
62;437.70379484534476
63;262.3510019856576
64;-114.87497929170792
65;424.3226966463392
66;313.53834402684055
67;320.67588453547194
68;560.4934190810143
69;510.9818626675141
70;425.514640192545
71;413.2231675869791
72;349.650236754517
73;448.6003927059288
74;296.86287563637916
75;462.58823887279806
76;360.03872893571
77;409.6801775704403
78;869.7208090468691
79;448.7403762758846
80;390.8721214193969
81;279.90137478158925
82;1316.826337167542
83;334.69941661160055
84;152.43714941450574
85;702.148084558537
86;826.9540568543146
87;385.26644081808314
88;320.7996216495294
89;739.0059148346448
90;744.8667704986769
91;405.5132407066935
92;561.4057861133045
93;266.3333373623206
94;563.1533896173312
95;389.872733675325
96;226.09596245037318
97;338.76699647316195
98;692.2282807067298
99;450.61773320612593
100;355.22054569270955
101;371.5920753520471
102;372.6884919861517
103;363.91129284156136
104;331.46446542274674
105;438.49873028328545
106;865.671712053043
107;394.3177627036027
108;421.6378133865986
109;389.1434238825856
110;714.4717685153778
111;370.86242180287275
112;497.6268093770475
113;45.98754038534803
114;842.0669587797474
115;597.2950334637653
116;448.9040731439219
117;448.2400707538569
118;538.4863424066194
119;417.5915623870492
120;460.70638477624345
121;791.0850049045991
122;335.9345734403776
123;492.5019902470723
124;1230.5865296764498
125;628.7529592387243
126;403.34754417870766
127;571.3706600378101
128;290.23677823872686
129;401.1699221821393
130;1356.7946666726857
131;410.06252073407427
132;591.321122326601
133;407.63190622615286
134;421.8592424091398
135;403.55860832818837
136;523.4322353171998
137;309.57246261155075
138;486.7790355643351
139;482.06998098007375
140;427.2717765948047
141;370.97635464097357
142;590.5463932441269
143;465.4070971470395
144;848.1320283595795
145;419.87765015551145
146;1022.5810747628025
147;589.4403954026036
148;829.213055989838
149;437.0193675560485
150;402.719346866329
151;392.8623779704652
152;567.7929280014243
153;783.7826318350959
154;541.3818216538839
155;1194.0354175246039
156;714.1812972168608
157;956.2268370650448
158;554.4776945282817
159;515.8965603229987
160;610.6366185101966
161;396.2863149736588
162;452.3845049561602
163;641.7657990608271
164;523.7778546407292
165;844.9009533676791
166;679.8688941212474
167;544.2816925308889
168;609.3278725512058
169;718.9583378529168
170;541.4096560235741
171;587.1878903470105
172;978.5136078437386
173;593.2904356970369
174;677.1605954503168
175;468.319278254066
176;559.9176818429888
177;728.3660970142575
178;544.3974251666058
179;571.3346991547949
180;407.13306381220593
181;514.859972593497
182;1395.8804193402727
183;639.6569787617334
184;951.9227637101542
185;667.1024341370523
186;1224.5860832554733
187;460.5286262877145
188;454.1296092033316
189;481.34133831347077
190;511.5484364551456
191;511.9654970525231
192;669.0256323822837
193;670.9115812629011
194;624.5548724990405
195;554.9217970880354
196;634.6584356376865
197;619.8203625407848
198;557.1960939978976
199;726.0053046589001
200;574.6053362126618
201;682.7898940637848
202;604.276089799606
203;555.062109178243
204;663.9507291252286
205;673.5166003990807
206;569.0506358452809
207;657.2826066273176
208;718.4042876826995
209;613.1240447501734
210;602.2774365626824
211;582.4787821049608
212;722.6119179250708
213;910.9582697427197
214;555.4805697058289
215;608.1240892544105
216;661.6335766962918
217;1159.7104238077252
218;821.1355353629071
219;587.6538030479344
220;623.5257811654964
221;585.80282743608
222;693.2404326978622
223;827.9154585947705
224;1487.455733146423
225;1001.7486650787107
226;685.4204771750642
227;1275.653010481569
228;915.142851861351
229;632.6067765604217
230;933.3950803146923
231;719.6090244655948
232;892.2449819207611
233;730.6014614687263
234;1174.4906362584582
235;624.3258891430507
236;647.4461423830331
237;671.4221085656793
238;1021.9730289671066
239;835.8202636173173
240;1002.7084919799868
241;1061.3349378798916
242;879.774117704533
243;597.3667850403988
244;919.101358852583
245;594.2654663400808
246;623.2086909244993
247;915.8546568553111
248;625.0320511141251
249;719.488124279284
250;1246.2655673046174
251;1418.835524520827
252;675.1149977071334
253;1137.529361545005
254;986.7905418627049
255;994.839096609007
256;570.6042409117279
257;743.3975120034911
258;1046.627029594546
