;Rewards
0;-1515.7891639534175
1;-834.8380970405818
2;-1174.4151694773916
3;-796.4452807326604
4;-491.9406073716569
5;-804.202407893751
6;-249.14308164482125
7;-901.3406832536413
8;-798.1204951868924
9;-136.69322179912942
10;-188.2975931600378
11;-1013.6481608319439
12;-112.9199106840957
13;-694.8882713728199
14;-515.736003102406
15;-614.7803589128293
16;-237.08456884743433
17;-249.30008604400774
18;-606.7467453254521
19;-308.13531442978507
20;-310.63441799964386
21;-169.39432398006784
22;-657.6805467485186
23;-415.6027548563887
24;-214.79621682477543
25;-304.2166469517563
26;-514.2254480058025
27;-188.72232530084642
28;-208.54475619997575
29;-531.7475984269727
30;-463.46420527397754
31;-612.2142521719895
32;-61.416301383741136
33;-198.49600185991923
34;-131.86598054032024
35;-184.76229038677036
36;-574.3266206067589
37;-104.13656776388586
38;-270.58944697010395
39;-257.49556459332456
40;-263.0756774686109
41;-855.4654355770663
42;-732.4982151494669
43;-84.02907093161106
44;-161.00639521997348
45;-74.34617904057852
46;-898.6481649284291
47;-432.0732709505052
48;-504.7045917999101
49;-102.86940440740844
50;-207.52408373586746
51;-61.17339735167541
52;-333.5195138754738
53;-101.33885812651958
54;-213.11074047717614
55;-148.87995575387848
56;-273.31154643633386
57;-215.92533391491526
58;-146.48076886962266
59;-85.46666806121763
60;-342.8038298033969
61;-719.2932621828403
62;-256.3449690002376
63;-160.68561307263155
64;-116.39413599338276
65;-138.25414187516657
66;-319.58470334592533
67;-646.2518579836247
68;-137.68304398599
69;-294.9930918982884
70;-117.23383867005305
71;-185.85950265149626
72;-736.5891398857357
73;-98.74270036625329
74;-519.7615111789296
75;-119.66081653156205
76;-217.0938107604885
77;-109.60487409246377
78;-108.590745412219
79;-748.9952257216977
80;-137.4371560103245
81;-259.039188018051
82;-484.66224678711495
83;-1036.0474152595937
84;-86.02403440819718
85;-245.75517154739327
86;-152.92099067839487
87;-220.99171821405844
88;-122.59180454022916
89;-133.87230697494957
90;-150.54183241184066
91;-98.87530170324263
92;-331.82174646974875
93;-92.85254450517095
94;-701.5896512029424
95;-176.44248606705864
96;-433.264415896742
97;-106.9159536091836
98;-506.551454511113
99;-162.31413300465107
100;-465.59243241211334
101;-236.88875775240479
102;-131.30010871697775
103;-247.8568305420085
104;-254.02582427879403
105;-102.10139735066274
106;-337.87500997165967
107;-295.84509677106195
108;-706.8757754456731
109;-563.2775746398087
110;-273.96680563550865
111;-129.99093331754457
112;-422.2719461538635
113;-108.42740008610404
114;-133.48579424914385
115;-122.693852036484
116;-285.35315026018685
117;-180.3577737054882
118;-300.6856555714448
119;-136.47445717047896
120;-269.6949627088895
121;-146.1475541147441
122;-558.4841641696011
123;-527.5547503123911
124;-161.9391613044924
125;-350.70199070409046
126;-238.80238702017633
127;-128.27499578289263
128;-295.233816332082
129;-113.2395223767924
130;-653.1668894352227
131;-143.5764957113828
132;-248.8346083264607
133;-498.71157201234774
134;-285.62149479474186
135;-324.1254539649879
136;-120.07967060665754
137;-242.2071658283216
138;-99.89199440715733
139;-175.71558868551958
140;-356.8532884358631
141;-102.58405248574647
142;-183.76540973467488
143;-474.5744021957255
144;-129.11178754298155
145;-366.4234086426301
146;-567.3759277978438
147;-302.65234864839294
148;-132.8583196219192
149;-220.70458104599487
150;-134.9108562231415
151;-170.6285368666667
152;-561.2651090732076
153;-151.99286740255778
154;-214.57241623273762
155;-130.09324875163648
156;-811.539950126495
157;-138.98186558005378
158;-131.1606147864142
159;-382.2313580213366
160;-232.932838350752
161;-109.04814451246322
162;-269.48376253782715
163;-472.25820906756115
164;-137.88708800554497
165;-346.2409020726757
166;-265.18920131338774
167;-152.16161595181197
168;-767.6775894012675
169;-338.08284649208395
170;-124.78623796686966
171;-199.43983602278638
172;-135.80837011122588
173;-278.5571578567644
174;-431.9827633797706
175;-182.02295191429204
176;-154.98065411730917
177;-747.440998310367
178;-136.50955118696353
179;-367.91736474410226
180;-201.95780977706434
181;-147.35104046570578
182;-270.5871245898719
183;-132.55932552756832
184;-919.710983532261
185;-226.0097817989462
186;-696.8285827720125
187;-161.47880557659622
188;-115.70826487055481
189;-153.5341321837495
190;-160.4009093199255
191;-195.17615287723743
192;-136.03729852728875
193;-144.981605595929
194;-232.62733418796037
195;-139.3609103879439
196;-322.2849659849615
197;-702.4384892461528
198;-422.89553480225015
199;-492.2398020979414
200;-159.06784359866518
201;-144.88263560865002
202;-209.8327307434196
203;-355.8819957882017
204;-256.15420018456655
205;-282.83541491080865
206;-150.2290121780799
207;-166.86258313942423
208;-256.0554338714951
