;0;1;2;3
[5.0, 269.0];8930.583368253887;8754.806908307508;9312.872742575722;8998.054641201707
[5.0, 357.0];6909.135250167453;1885.0207711062274;9404.809285163363;4986.129198332879
[93.0, 357.0];9102.226441922488;7839.360548781675;9554.378756069014;8800.06558299377
[5.0, 445.0];6083.115202254594;-2.8924910993583945;402.7368314299462;-2.9913451665885207
[93.0, 445.0];9394.569296843916;831.9812660191731;2357.568587239746;1141.665984067563
[5.0, 533.0];486.17617504400346;-2.6202724706033167;-2.598290885910495;-2.759388981595824
[93.0, 533.0];-2.3985377201929703;-2.303892419119282;4233.163404329824;-2.396057692245864
[181.0, 445.0];955.7846852559458;8668.383808760365;-2.0708357894916283;1192.1799813239647
[181.0, 357.0];8175.051721969369;8036.338608494409;9729.78293071315;9141.641570671369
[269.0, 357.0];8207.94489565188;9411.138403120029;9760.081698345604;9069.277214686159
[181.0, 269.0];2505.6898415913697;9426.433664546928;226.03727155291608;6995.343828033819
[181.0, 533.0];600.0925518039373;2238.3473506496193;9288.179226211894;411.4414048458517
[269.0, 445.0];-1.6270702523898257;-1.4418334343737016;6.641856654823896;-1.4612662926827065
[181.0, 181.0];34.184408234088586;6802.433104667076;346.7333689585749;-3.4110859754331218
[93.0, 269.0];8153.742185207577;9463.80429219631;8328.808511694002;9010.890869645045
[269.0, 269.0];209.67552302571647;-2.5176050267668844;1279.8049904651562;-2.619609067378712
[269.0, 93.0];-4.0532629983699255;-3.9406043083797564;4514.882824596281;-4.028685084399107
[269.0, 5.0];115.87217473254437;-5.1688911317649;6803.523947906596;-5.069984844084954
[181.0, 5.0];-4.536102342829898;175.26928868393105;-4.5405923741414345;-4.456190443791669
[357.0, 5.0];851.0047585271765;2570.9115925249916;9666.529159239713;1086.665269048175
[93.0, 5.0];-4.171828616931279;-4.223275286599668;-4.201863650565882;-4.191827059818987
[93.0, 93.0];-3.9444845827825787;3016.824634609225;-3.944682439185315;-3.9535218716393556
[181.0, 93.0];-3.9980562584699286;-3.8309354065223533;2427.213097835336;-3.841143825578928
[445.0, 5.0];8721.91176102023;8457.261034040475;9823.212420765933;7928.6042787533615
[533.0, 5.0];9424.512577116608;9032.737749713677;9879.725870780183;9353.314881655342
[621.0, 5.0];9794.278652358913;9816.146040075166;9901.478971644012;9725.457581721466
[709.0, 5.0];9779.959359425024;9830.971987816263;9902.869209451346;9824.204318426864
[797.0, 5.0];9812.361162028912;9925.411037630296;9792.87290752081;9797.174548324585
[797.0, 93.0];9795.735702957065;9934.863709879195;9780.127217607072;9619.83653629838
[797.0, 181.0];9783.634949115833;9946.631078611832;9830.651310785815;9519.132795365633
[709.0, 181.0];9830.739074110119;3329.933519866131;5491.227963568194;5649.6340064470005
[709.0, 93.0];5769.238755404428;6938.197628039954;9851.295589759953;7411.435461449142
[5.0, 93.0];-3.988435795534547;2906.938692678568;-4.023450658211812;-4.049449408514408
[5.0, 5.0];-4.141209424066953;-3.9344167301799766;-4.279464841911093;-3.990369710747288
[93.0, 181.0];422.19986887893936;9150.218808530944;1845.7736873606596;2432.6582611090894
[5.0, 181.0];423.2777840341028;9080.531303243717;3914.053396095681;3355.4929164244613
[269.0, 181.0];1740.1862279966413;2676.8182570657427;9045.947726697508;551.5874755002556
[357.0, 93.0];5911.057070816966;4952.48520791982;9393.562500478189;1648.9718026850271
[797.0, 269.0];9771.96250001474;9954.440491443826;9729.586355889734;9201.825170686543
[709.0, 269.0];9639.331162420367;813.4845559698041;2596.5993172907706;359.139433400422
[621.0, 181.0];-0.38693700144239596;2406.156494898501;-0.38918967745151883;983.0854174856436
[357.0, 269.0];9440.346941948872;9677.624453444925;9693.001796822511;7212.507356148304
[269.0, 533.0];9434.991613679927;-1.1939525182181654;217.6554621473594;1592.3893577963156
[357.0, 181.0];4456.377666590701;-2.3230020298151186;153.97954888742385;-2.324733518253818
[621.0, 93.0];8784.690929350325;977.3702197406534;-0.6268289555775381;-0.7586168269917258
[797.0, 357.0];9817.956263007876;9342.506136423992;9787.224780952844;9980.302527543075
[797.0, 445.0];9942.305414622671;515.4495674669172;3416.8432862681743;750.6234595360341
[709.0, 357.0];9145.766265119599;9973.726878481446;9914.935795236694;9999.999999999993
goal;0.0;0.0;0.0;0.0
[357.0, 357.0];-0.9076699258720374;-0.9788930008131733;93.40691936051417;-0.9818176740333249
[445.0, 93.0];3804.7535816306154;-2.6390344114141104;-2.5912461492406558;958.798931815791
[357.0, 445.0];-0.43463301112064834;-0.37641614501413695;-0.42851000000000006;2335.4341984139114
[445.0, 357.0];5.090597825187789;-0.29000000000000004;-0.19;-0.13367821243005643
[445.0, 181.0];9660.615426135088;9718.81339562062;9783.36288398049;8888.369922118582
[797.0, 533.0];3396.271425951847;-0.19;-0.29000000000000004;-0.19
[709.0, 445.0];-0.1;-0.1;3969.484901825679;0.37172108715505237
[533.0, 93.0];9724.287896187998;9735.099359188693;9875.88019058846;9404.59790999793
[445.0, 269.0];663.5831097339736;-0.3881;-0.4155918805362402;-0.43773928290303643
[533.0, 181.0];-0.4716581256190153;4.244602430180289;1834.083141870919;0.1358187369380569
[533.0, 269.0];0.0;0.0;-0.15929070945627372;-0.35340567770445563
[709.0, 533.0];999.8999999999993;0.0;0.0;-0.1
[621.0, 445.0];0.0;0.0;110.97921919291258;0.0
[621.0, 357.0];0.0;0.0;0.0;99.00048444590703
