;0;1;2;3;4;5;6;7;8
[5.0, 269.0];42.20688802738988;58.819454879624715;70.06123678325748;70.30787447737185;46.288121130546195;61.56411487278208;76.28578780675979;60.636257007578486;71.14705969674665
[5.0, 357.0];19.422672892596704;-1.8905040304776668;4.542716557367262;10.7916411014367;15.018861429975805;69.59700327177667;1.9223284816971453;7.716776413870542;4.58687675889011
[5.0, 445.0];-1.5259590871392676;-1.7125915044874283;-1.5306942891430277;1.7196893840483398;-1.5799054967922042;66.83039653899155;1.2453185586939068;-1.5962856107337366;-1.6328305240798582
[93.0, 269.0];-1.9230699992043252;5.175241719752824;-1.7425840564461703;-1.9399504550314055;-1.7907588098442893;5.2394484097828915;72.55006642532692;1.585079686006455;1.5371827440991495
[93.0, 357.0];67.72260722116226;60.10188963744609;71.88149362653651;68.16752472133615;60.854333006893725;70.08189224352886;77.72924523460858;55.87931552445358;72.07593830397259
[181.0, 357.0];8.638597081175106;19.46464651755875;77.49848219634968;39.63027215934996;28.481863577457464;5.418043893613422;27.99495836336979;10.448052950676406;38.850263239936716
[181.0, 181.0];5.586318031734332;6.350318309443177;-1.5618727657221414;3.7843592763992646;-0.5660033241939273;-1.6974190579622193;71.93061688851918;2.5500560231781053;0.0772398875717839
[269.0, 269.0];2.7443678489632486;6.0928160689287045;82.61940109772493;8.009042897076153;6.6568352361084955;8.406947023042168;5.616151696973188;6.2109134919864255;-1.003533560780083
[357.0, 181.0];71.54384340156246;80.70361884401562;70.88305437869201;48.55527975368405;82.68808150340716;62.8725984557538;86.72400588111076;66.02952766813797;63.001539512198335
[445.0, 93.0];5.612265381969829;-0.7652219334464522;-1.0929438152852533;-1.0807155959478996;14.523877031722556;11.502974677978637;80.04076809703236;15.209541556406183;7.702566079734531
[533.0, 93.0];7.250457962704477;31.816135615526793;34.25701306273588;13.32152241305961;89.0479640945883;12.669776801876143;21.9617352814189;15.53453618178909;-0.31929761520264216
[445.0, 5.0];53.20791986637258;33.20742587444375;88.51151757324477;32.93923798459441;30.62155060223693;41.82451744420199;44.35265618300993;11.299096054018401;47.82775700262493
[357.0, 5.0];11.583286633738485;-3.069945460132644;16.920826197841166;-1.3166164088645596;85.97277910891614;5.138157097182811;19.944298476492868;4.114752666912308;8.889664666338886
[269.0, 5.0];9.591511784506478;-2.966559249000846;-2.875185901871406;-2.8310220787314577;70.91974175194915;-2.8706818451200475;-2.875997995357777;-2.9118050740560593;11.337579793587864
[181.0, 5.0];-2.386457943241553;9.712125478972633;-2.3873916227984697;-2.4231727422547347;-2.423603763202562;-2.3769616015759256;-2.3990469522517137;-2.203350266259614;-2.481273591528019
[533.0, 5.0];86.39577184252327;87.16605138249233;87.79501320910515;82.9868415184188;88.30579751154578;77.88239760075768;89.61675108384351;81.25058580386819;86.79619206856589
[621.0, 5.0];88.44335265834125;87.74928115785085;90.86156233732865;85.88265621788383;89.02505110495335;86.07485854007415;89.53052061697736;85.79982333695834;87.6918961083355
[93.0, 5.0];-2.1910355016012857;-2.1412921334546313;-2.232555175510658;-2.1324120082688394;-2.1547129438395753;-2.1955939784457996;0.3058623220418504;-2.2218037781173714;-2.1934252581163642
[5.0, 5.0];-2.200481742088147;-2.123158987350135;-2.1282752191276137;-2.1491706362157106;-2.174024450492116;-2.204912844746822;-2.0627400223532595;-2.1448973607929487;-2.1963622748120906
[93.0, 93.0];-2.125911870388103;-2.053253694044852;-2.07662664464596;-2.08198486497805;-2.1068074340303276;-2.041524141966051;25.376617042839857;-2.0772955072607653;-2.2199108556437452
[93.0, 181.0];0.09090218086177604;12.536608442252886;-1.937055740167082;3.271639709940227;-1.904805064440891;-1.9665810722280983;70.39597254739625;6.742038371577966;5.025875195930194
[5.0, 93.0];-2.1415977637528565;16.944146425593924;-2.173209793957058;-2.2491198409502147;-2.163549449379068;-2.1149573705791376;-2.124893190035483;-2.124542127231902;-2.1936293751629297
[181.0, 93.0];-1.9973818200172149;1.9394384067012798;-1.8389954952139191;-0.7337088176900985;-1.8208519484648966;-2.0200318581133527;73.8526499782164;-1.8558625142812886;-1.8339782179991428
[5.0, 181.0];-1.4030529168988837;20.431018691497748;13.170644911809418;0.8492101082578943;0.09953950688371149;-1.008455749062584;2.6407139446643493;72.32416995275582;9.651423635850161
[269.0, 93.0];5.096943406925799;3.5572950684211855;-2.0242619337877876;-1.9559899098469253;-2.0080236332492625;-1.682332457974155;-1.9220962494805693;64.72491260593311;8.265478138680072
[93.0, 445.0];11.51766507632146;5.773851247740802;6.4067901553311195;6.642436652262991;64.08982024120105;10.386139142644186;-1.3167960325618284;-1.3963353901916575;-1.3875518724344416
[5.0, 533.0];8.775631708025394;-1.4700645621494395;-1.4239419417004993;-1.4398945790898825;-1.3978047477670725;-1.4383963261437522;-1.4748872066768066;-1.548688569214224;-1.5355876203153673
[93.0, 533.0];5.777665755019109;-1.356215315376327;-1.2363859512630024;-1.189817114054501;73.00113590953316;-1.1922341810998174;4.885468519301556;-0.9927386143734493;-1.4347246357910977
[181.0, 533.0];-0.8816931631564848;-0.8758560402000001;57.34049667033815;2.457325022920924;-0.8863564445998414;-0.8848436972128284;8.647308821829121;-0.8603780230812587;-0.8636083099999999
[269.0, 445.0];-0.687255099959943;-0.768014476093006;-0.6538227979167809;-0.6810262970484819;7.3622214232456935;-0.7090591293398079;-0.7298628059100001;74.3785183664652;5.390136056909895
[357.0, 269.0];-0.6296979650834301;-0.5801424239696356;7.962596697594481;12.28808358107754;0.1880855217438314;-0.5874264503801314;-0.4768601459268277;14.104009520538966;81.32223048258986
[357.0, 93.0];-1.4491169658746086;6.488026686468554;77.77888787880849;-1.63117533790551;6.967890627056254;0.443104921543225;5.554800020881359;8.263703728840804;6.829369859722678
[269.0, 181.0];-1.3487108867194233;13.934225134157963;6.65257305917936;9.47794246506789;25.837151741552734;-1.3742836674809136;83.78965456396669;10.719649439823632;6.523348511831031
[709.0, 5.0];89.24029355063519;89.2385832957732;90.94447446562371;88.09301772848453;90.62502479905334;86.91049820422509;91.67189361668045;87.58874837243769;89.8974854815182
[797.0, 5.0];90.96604125716004;92.61953750901421;90.01054139733142;89.27612382219338;91.05782036370935;87.28724956631136;91.49801995175396;88.1510113136413;90.52952150821835
[709.0, 93.0];14.737914842980917;22.255044538302844;30.5886038701878;27.232018431713833;24.33253350370883;7.480960593900819;92.78555441262675;4.932251994878236;16.08663943644342
[797.0, 93.0];90.72132681359537;93.32777363248506;91.08560777769081;89.4814283053978;90.91757388143621;89.92399479009211;91.35028817039536;89.66071334526143;92.46057459638156
[797.0, 181.0];92.47993844820755;94.71609535940081;93.43564345443289;91.7754328547095;92.92045855835968;67.41285595267364;95.16366700213635;88.79120697236928;93.7309920836865
[709.0, 181.0];23.67429222030566;31.13617576769564;6.984915396860987;10.891291593204372;46.101313033468394;27.870535979332445;94.36253525414003;11.756114720164708;30.05456801142573
[621.0, 181.0];88.4112217169351;-0.04859669831386115;8.868599805552456;-0.12;-0.24728327004309616;0.0;8.863250891219845;7.659964883630164;8.47945719296505
[621.0, 93.0];-0.20090590598412003;-0.17341086400000003;-0.11705806401684252;-0.28752187224840764;-0.2107617934087033;-0.2635802168487031;-0.19611465161500002;-0.2816253193893572;49.68270039182129
[797.0, 269.0];92.43666775698516;90.19560211657193;92.96557348668517;76.75310420506648;92.49644236928572;85.451993445765;79.00838996352492;97.06259640949645;92.97290637190582
[709.0, 269.0];17.060519440185647;30.567190145139286;94.85330964640389;21.68302059891647;14.173089894606724;4.13821950670812;-0.1;27.1;35.55808433791381
[181.0, 269.0];3.0760308447253726;10.864830711602899;4.540696759516942;5.908456606660202;11.674885308608292;4.677621131921214;80.6001335695431;5.417909318218614;8.895966035151108
[269.0, 357.0];68.29333854376512;77.25662279723807;67.2711810807136;73.55704783979819;78.08928631988485;52.81631502988892;51.86637659983295;70.86898022137032;73.99351564579696
[181.0, 445.0];70.59998374558424;44.8779035813393;57.63947930518951;59.8147961039845;77.48892862822919;72.84725749526842;72.01265946398725;51.90391096296645;74.8777420071219
[269.0, 533.0];11.237662679898609;-0.44158980000000003;-0.08699449371967405;-0.553214908369892;6.393158344268112;12.314329159719641;-0.03652301865901564;77.88618883392672;6.564990168465828
[357.0, 445.0];-0.23572983839831985;-0.21;-0.271;-0.23213473280408325;10.856918792666935;-0.33554962306574176;-0.271;-0.25388031;-0.2131951
[357.0, 357.0];-0.383838466654422;-0.48161324073620826;62.09169176873222;6.143641393534108;-0.3051032251377537;-0.5235612733142774;-0.34390000000000004;-0.3973056405502434;-0.3435802759357202
[445.0, 357.0];-0.1;-0.1;-0.1;-0.12747567983016853;-0.1;-0.13096455923871578;-0.1;0.0;-0.1
[445.0, 181.0];81.93710960679016;83.28390721971135;82.84552118889053;74.35941206683819;88.36892431495988;69.82408094746103;61.99778732263879;80.36076120036732;63.49386940111309
[797.0, 357.0];94.71464107227035;8.093160466863585;0.0;24.293505339244486;9.29279570807148;9.316834580816241;1.2605327899999996;4.415585505185851;32.21212406175778
[797.0, 445.0];0.0;-0.1;-0.1;-0.1;0.0;42.57135226374113;0.0;0.0;-0.1
[797.0, 533.0];0.0;0.0;0.0;0.0;-0.1;0.0;0.0;0.0;0.0
[709.0, 445.0];0.0;0.0;0.0;-0.07932780986126067;31.406836388933158;0.0;0.0;-0.1;0.0
[621.0, 445.0];0.0;0.0;0.0;0.0;0.0;0.0;-0.1;0.0;0.0
[709.0, 357.0];85.78044802127089;98.58859842646005;94.64045997916304;99.99999999999994;94.33606207820002;76.5221438975641;80.35033832597172;78.9746122532426;74.80839484192333
goal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[445.0, 269.0];7.341621935398424;6.4546258202700635;5.25665214014902;11.248525221949102;78.67672339492404;-0.17044908755192523;1.2161147229879012;-0.2234904807500411;-0.11000000000000001
[533.0, 181.0];84.50424606562473;-0.2470018372257472;7.986162991232151;15.189168838754243;8.735702850011807;16.33734848303107;-0.11100000000000002;0.0;-0.35810597352530754
[533.0, 269.0];-0.3538431611912136;0.0;0.0;0.0;22.751689123709436;-0.3052088337423164;-0.1;-0.12345216282037;0.0
[445.0, 445.0];0.0;0.0;-0.1;-0.12;-0.1;0.0;0.0;0.0;0.0
[621.0, 357.0];0.0;0.0;87.59307473359189;0.0;0.0;0.0;0.0;0.6586061491904875;0.0
[533.0, 357.0];0.0;0.0;-0.1;0.0;0.0;-0.15217031000000003;0.0;0.0;0.0
