;Rewards
197;89600.01274758669
198;104187.98464721441
199;102878.20427330586
200;111545.96150611049
201;94064.9363420495
202;159094.36608937872
203;100791.95404425854
204;99876.97355686864
205;98559.38444577163
206;99523.79873871956
207;102239.40729568995
208;99512.88474219115
209;100188.81354290279
210;100863.35637424026
211;104552.25175725025
212;148003.79682012054
213;98844.68734054083
214;99541.3922755365
215;95295.5128355569
216;100557.25387528437
217;150395.4875416228
218;102917.30791741132
219;100981.38011530829
220;107796.32508004011
221;101996.59794585494
222;105803.05668630314
223;104120.27942123698
224;101891.54846383994
225;101305.4820496953
226;102493.56243275673
227;106458.91598399174
228;102726.49018480323
229;107844.0999189974
230;103777.09225484861
231;107300.35946635767
232;107125.13813707372
233;104915.12791579773
234;118323.20112338981
235;105488.77623180558
236;179216.6303948199
237;105535.56851998427
238;101415.69838180121
239;106466.96470367872
240;109785.28675775217
241;141096.47809177486
242;110762.19975720574
243;111568.02359906139
244;91768.49231495408
245;116509.31073445028
246;108582.35084689429
247;129117.52031078016
248;109264.23516471844
249;105440.82369827716
250;127755.55888638263
251;105313.00895452389
252;113561.23732666418
253;108878.94727073373
254;100203.2412167603
255;237627.1109109444
256;110378.90943289937
257;106898.89385284744
258;108435.31917786009
259;105382.2524171514
260;104122.60900409929
261;116566.12886258759
262;116294.50290919964
263;117624.07982362248
264;105990.50240758568
265;114539.47402842011
266;106323.19405639594
267;108202.9371815798
268;120812.01607128649
269;106088.49802590671
270;120876.88055375955
271;113185.60427518365
272;115815.51790647136
273;181114.8305082129
274;110548.83741455781
275;105537.58181473828
276;107659.3404343304
277;106148.37127849674
278;106722.67141226963
279;109876.6943561863
280;168567.06144866918
281;156137.66170836234
282;119286.80756290455
283;112973.34168565134
284;103964.61954577296
285;111184.84503454399
286;104756.62769602268
287;105321.06916858902
288;116655.11734269581
289;101349.45288407613
290;138021.6085821274
291;105890.41652792253
292;117670.65733558293
293;106423.66169656889
294;107000.6049020199
295;179395.2392529116
296;115702.43783870494
297;122393.38829737763
298;110654.05536583353
299;109596.08423154341
300;122267.08273042266
301;127724.2657923804
302;107359.4940847359
303;114111.53238806053
304;110127.6543464457
305;120266.20748934403
306;112862.15015587863
307;110192.49639383738
308;107094.08499220088
309;115358.98284981473
310;131738.24288307776
311;118620.00434459069
312;114644.61336891713
313;118656.20425622597
314;106412.32301188802
315;122440.79085830688
316;107259.14480014061
317;115450.86812724634
318;108271.78144016108
319;135993.4865823903
320;108604.3560096747
321;165500.81892742103
322;108462.61384210196
323;109117.68971931806
324;172794.0951370764
325;109646.55796402802
326;127119.81644331923
327;180238.2753224414
328;114007.6704783696
329;111808.45255598638
330;112991.16390105989
331;111182.48708140006
332;110805.19204084863
333;126155.89157359867
334;110807.8932465913
335;134417.95342609126
336;120712.57143722617
337;117509.20443346276
338;135344.58092673693
339;144243.58663003476
340;110428.76499703957
341;93961.69112686798
342;149925.73117205343
343;126302.59466031624
344;111086.88702977417
345;106326.79265914919
346;130501.04715858755
347;121071.94659506046
348;113477.72668491735
349;127126.804684217
350;101470.00158168114
351;116722.00124754728
352;112447.76153190003
353;126940.30190605798
354;113267.91307936216
355;123649.92223310782
356;122017.40899664821
357;120563.43378104281
358;113255.9740278513
359;113792.06415968903
360;114323.72167871444
361;114851.3650523494
362;120173.51312150431
363;115452.90406565726
364;120714.16335741073
365;120925.74897660929
366;121079.14824793924
367;128541.52586464887
368;146731.37563599658
369;112752.84421842007
370;113433.41746083324
371;137087.53382002038
372;117810.97464413953
373;127139.19757079554
374;113503.80528462239
375;149467.25901460287
376;146724.4263725652
377;214251.9228017434
378;117131.5095289826
379;117743.32384242985
380;116003.90367355855
381;111972.25456725509
382;141895.77982774584
383;129253.95414811143
384;110797.49943651602
385;112425.91844407679
386;112946.37172871202
387;162214.05651233034
388;113803.22084538633
389;124875.66231678249
390;133748.0941975079
391;114014.5686586186
392;114566.64754102359
393;115115.373014034
394;115661.0249186724
395;127747.77352845418
396;121526.23685326637
397;116009.1000750295
398;124168.55545825226
399;149978.96409064706
400;118648.39189003277
401;134017.0232691616
402;116276.82542747547
403;112151.13184312254
404;124471.82212398754
405;116316.11105842111
406;116892.8395928801
407;123666.7039787813
408;117344.08712409728
409;121989.08220452353
410;126423.87488402732
411;125985.42228448065
412;142713.21306010056
413;145743.97397212483
414;227695.06837146566
415;121342.58364930868
416;135939.29456686653
417;160958.77764356736
418;114279.25407135804
419;115052.27467936941
420;189485.06748709982
421;114622.1422741136
422;123146.86654188621
423;120754.29764514935
424;114961.10038045561
425;115506.2962787603
426;112453.28501879604
427;119600.7129856123
428;132224.5648270038
429;189499.6672835384
430;133158.74744321307
431;115748.32084003164
432;147803.53429483398
433;120502.56540805163
434;114945.49401896226
435;115229.84090204316
436;128350.62598934298
437;118040.1783245256
438;119156.24244081657
439;119241.94524578584
440;128491.40882160526
441;117345.40245272845
442;123256.1136365585
443;129013.80876122002
444;162565.20125736966
445;123850.84233618507
446;150974.93236889178
447;121414.95114632056
448;128299.5071777062
449;122285.83555983595
450;190148.53338397178
451;116863.06405990463
452;117432.08246424142
453;113539.9428123348
454;118153.10431382986
455;118819.36889734061
456;137216.7553463006
457;105083.06633122906
458;119322.49548797493
459;131356.49257788004
460;121443.11201217139
461;142513.39099249354
462;135691.5464905623
463;117869.32358011385
464;142423.69220048568
465;120265.9622976867
466;114784.78488309644
467;131825.71245765968
468;126128.73573363075
469;123693.79460213409
470;186195.23896894403
471;106099.87351907618
472;136400.27262727063
473;117522.083604182
474;143073.12240845428
475;126033.22417217382
476;125145.34742454212
477;118117.93288951562
478;137515.50481377126
479;137525.9343816559
480;118044.23466386006
481;150290.74204347533
482;114624.92752361155
483;118389.10801814665
484;136227.75975146703
485;147163.0580779793
486;154281.42692253127
487;118530.89396937462
488;119057.7909986432
489;145471.0027257698
490;119552.50116454813
491;120060.71615011257
492;120563.33236981308
493;126416.84782146855
494;190941.61500672912
495;119689.65352627204
496;207289.08933060803
497;115702.23854811824
498;119765.3699619621
499;120270.81691132754
