;0;1;2;3
[621.0, 181.0];-5.652033005400964;-5.726887976467852;-5.405804735385036;-5.858174421906961
[621.0, 93.0];-8.112580921183925;-8.110018865186525;-8.098379757722498;-8.286376410328014
[269.0, 93.0];-12.791731286113682;-12.944850909610631;-12.535009161979042;-12.927614917110262
[709.0, 93.0];-7.679296665626364;-7.629782309402191;-7.507108044632108;-7.644144958362432
[5.0, 357.0];-15.912175834507375;-15.61597351141306;-15.574236704621015;-15.820730151762707
[93.0, 357.0];-15.115457586089278;-14.634315934991536;-14.50476619727883;-15.285757994785564
[5.0, 445.0];-14.840849538168417;-14.725035267910531;-14.733569189923932;-14.85810751436025
[93.0, 445.0];-13.907442451889999;-13.91524687281628;-13.890371215012962;-13.910398711310728
[269.0, 357.0];-12.709536617344448;-12.710099950108336;-12.367004051338837;-13.699181739871392
[357.0, 269.0];-11.69345048751159;-11.821219434867077;-11.30613049343644;-12.169866652943039
[445.0, 181.0];-10.682684662394205;-10.993247514908116;-10.2433114000562;-11.363009829589002
[533.0, 93.0];-9.757998051942351;-10.134930268612129;-9.248894891095722;-10.406973254495687
[709.0, 181.0];-7.2186654317189465;-6.935612250790941;-5.971890159066383;-8.064490570536185
[181.0, 445.0];-13.248218441057826;-12.990286146244289;-12.956899552386778;-13.142894368573078
[93.0, 533.0];-13.373144175692165;-13.30461074383972;-13.264593361283525;-13.314156292863945
[181.0, 533.0];-12.373974008347092;-12.424572082392642;-12.367037510109594;-12.824462132735215
[269.0, 445.0];-12.0545326163456;-12.060758477034419;-12.054578355522079;-12.414100190515786
[357.0, 357.0];-11.222480171824166;-11.399998025381203;-11.12094016698644;-11.17111957416348
[445.0, 93.0];-11.668026976101508;-11.79458321357473;-10.386839601661482;-12.569441227673847
[5.0, 533.0];-14.094395812090815;-13.968500789307855;-13.99585957578866;-14.102294214399862
[269.0, 533.0];-11.503238317757223;-11.512154026073318;-11.494113410036114;-11.630748442169756
[797.0, 357.0];-3.841370322193936;-3.0929969607226875;-2.6001072084231933;-1.1835644664803915
[797.0, 445.0];-2.220899096411814;-2.1631638567919347;-2.316463279284815;-2.1419437164581563
[709.0, 357.0];-7.164935693449805;-1.2864270640803555;-3.872141670991158;0.0
[709.0, 445.0];-1.8705236808858612;-1.6253328837436707;-1.7210604152195221;-1.0518957754782912
[445.0, 269.0];-10.34600546329798;-10.399012898270136;-10.228356050284486;-10.341306046789542
goal;0.0;0.0;0.0;0.0
[797.0, 533.0];-1.5166609021532367;-1.5696818425861299;-1.4611728672391509;-1.4606753456797492
[621.0, 357.0];-2.6691497832802176;0.0;-0.9029704230815777;-2.8033777242273663
[357.0, 445.0];-10.714505548472962;-10.806046359562105;-10.647078845846169;-10.795815684379871
[445.0, 357.0];-9.876307189014172;-9.907931724419358;-9.804756214542694;-9.908790092902382
[709.0, 533.0];-0.6982955278879541;-0.8263426789380954;-0.937090795130617;-0.7282288869128273
[533.0, 181.0];-9.432435890900038;-9.476321117702108;-9.269024156648365;-9.526650560396023
[533.0, 269.0];-9.05723529531364;-8.999026633166467;-8.964429712465293;-9.111729194875478
[621.0, 445.0];-0.8803229579185567;-0.4393880432951236;-0.38528415096582924;-0.7048839050418301
