;0;1;2;3
[5.0, 269.0];-16.575840776953097;-16.57501124533627;-16.58185289033723;-17.05647708451544
[93.0, 269.0];-15.542346046577528;-15.498413392442838;-15.032561460125196;-17.29809164401199
[93.0, 181.0];-14.756608960101044;-14.843623692359673;-14.546146794933184;-14.773901065982448
[5.0, 181.0];-15.633486194388892;-15.798831693712161;-15.573765494629942;-15.730767610284166
[181.0, 269.0];-14.590275623692365;-14.452642636616657;-13.741175237606168;-16.12976472652212
[181.0, 181.0];-13.851815285916881;-14.261139980485428;-13.510992612437382;-14.00553221537748
[181.0, 357.0];-13.701336894858219;-13.647743919306686;-13.513829359327739;-13.727857735300974
[269.0, 269.0];-13.548426588154056;-13.717198658729096;-12.78890199577278;-14.612942459538516
[357.0, 181.0];-12.475466262370176;-12.658722356415762;-11.486450915383282;-13.53057475732886
[357.0, 5.0];-12.224306348115956;-11.99855325648765;-11.631420603331351;-12.885138202404157
[445.0, 5.0];-11.422696500557091;-11.389968342853745;-10.531694907065482;-12.377486808578032
[533.0, 5.0];-10.520021598071347;-10.543502194210896;-9.48353055339347;-11.614325178565055
[269.0, 5.0];-12.767189485197093;-12.728266751204515;-12.625506184050778;-12.72069329562903
[181.0, 5.0];-13.50452125784392;-13.406037218623148;-13.367921066399443;-13.587899182079862
[93.0, 5.0];-14.238153172101368;-14.119266660687348;-14.02107982892354;-14.078421932453736
[5.0, 5.0];-14.459439952786795;-14.556898326369785;-14.49907600989513;-14.591519645933719
[5.0, 93.0];-14.931533590953283;-15.030284206475214;-14.890983109725498;-15.038560865323086
[93.0, 93.0];-14.273665050040139;-14.280319689205442;-14.284857690957834;-14.369970611894718
[269.0, 181.0];-13.080594209669199;-13.144743434947502;-12.490111185544189;-13.436616103401967
[181.0, 93.0];-13.521620394842923;-13.620240435589377;-13.49280195172323;-13.6296740937205
[357.0, 93.0];-12.047789496584924;-12.148358889579036;-11.507394818546976;-12.314215173338784
[621.0, 5.0];-9.41021815513917;-9.414121858907594;-8.1761533598256;-10.711503248836527
[709.0, 5.0];-8.167258216856437;-8.212215825542586;-6.960993591002637;-9.898216396161951
[797.0, 5.0];-7.0395402403797;-5.812377373200624;-6.964222229882795;-8.5143420437104
[797.0, 93.0];-7.179544708954015;-4.74171063967637;-5.849795041983866;-8.4024347320966
[797.0, 181.0];-6.004886873595128;-3.5752499878573567;-4.671064067129103;-7.527236152323955
[797.0, 269.0];-4.8533694708894295;-2.4993087947216033;-3.761763191405438;-6.148998632966558
[709.0, 269.0];-5.325855516833514;-5.37530693307827;-5.123601396449861;-5.362838086846249
