;0;1;2;3
[5.0, 269.0];-4.455310963688953;-4.377242221583828;-0.49964174703862396;-4.407236377723776
[5.0, 357.0];-3.727629628507535;-3.6818200578482165;-3.714627765739081;-3.671152124675332
[93.0, 269.0];-3.708087321350058;-3.6561311362888067;8.648896531890875;-3.63782058403764
[5.0, 181.0];-4.220788678227786;-4.2138280530123575;-4.164871628229739;-4.20662539807009
[93.0, 181.0];-3.9600874137669297;-3.8924602987846835;-3.839247738795021;-3.915494771127295
[5.0, 445.0];-3.172859080526741;-3.134209111587483;-3.181863147956138;-3.298040236441349
[93.0, 445.0];-2.814600701112308;-2.78984584822815;-2.7495715463366253;-2.7989333935984964
[181.0, 445.0];-2.2746423837648315;-2.2331388947669417;-2.1807080812132376;-2.2567190937604478
[181.0, 357.0];-2.6002946536716616;-2.580994375062559;-2.357720043203332;-2.623635569590776
[93.0, 357.0];-3.244353992922278;-3.208687229661691;-3.187463504762716;-3.253738868994254
[181.0, 269.0];-3.0963131882543133;-3.0463049752069558;28.074021465037664;-3.060749054431308
[269.0, 269.0];-2.5274271467641185;-2.6011384034522744;54.54356682262268;-2.951315583754714
[181.0, 181.0];-3.624783545833403;-3.5723430177820776;-3.661544679409964;-3.6582184278951613
[269.0, 181.0];-3.723294161975892;-3.5956592424161036;-3.4298868366261765;-3.522359367082202
[181.0, 93.0];-4.157595969269682;-4.096651369925724;-4.066409789802639;-4.116715388423396
[181.0, 5.0];-4.626698799943224;-4.62116114730668;-4.6651813341824955;-4.582293364541419
[269.0, 5.0];-5.25593068123105;-5.184205784095102;-5.2313331213126935;-5.159311864071307
[357.0, 5.0];-5.482962461150188;-5.559177892666416;14.019830192923093;-5.529335971741121
[93.0, 5.0];-4.352181543718904;-4.306848288486857;-4.369413274870111;-4.269514145208754
[93.0, 93.0];-4.175036542651461;-4.079065422001494;-4.166194974138856;-4.155693748934674
[5.0, 93.0];-4.209192637232057;-4.210407100084367;-4.211987036034237;-4.236945821486967
[5.0, 5.0];-4.317119626810428;-4.279919715446284;-4.2061195031002105;-4.2038366719571645
[269.0, 357.0];-2.329096918035928;-2.0311167552176075;0.2282882170521221;-1.9537817218983466
[357.0, 93.0];-3.8566039773810075;-3.703726665391249;6.4153899377977694;-3.614366031260016
[445.0, 5.0];-5.3334415568048685;-5.329041939906429;134.36787368354584;-5.310817268504309
[533.0, 5.0];-4.618566268391302;21.03745630996785;377.74151487905056;-3.4452206733546102
[621.0, 5.0];88.12785865272744;11.110386184165513;484.41926041192835;31.26389094153928
[269.0, 93.0];-4.163224515115342;-4.180909215128778;-4.382357350881055;-4.279271005353983
[93.0, 533.0];-2.450397924047519;-2.6015211982121134;-2.454912912411858;-2.450230284503002
[5.0, 533.0];-2.8265831127641747;-2.763541213907807;-2.784286300177355;-2.907779889024321
[181.0, 533.0];-1.9383699357307296;-1.9124042106508174;-1.8263099147034558;-1.9033825454636721
[269.0, 445.0];-1.610418647650474;-1.6300474216403542;-1.6391827153879153;-1.672066274557261
[357.0, 181.0];-2.264364691861696;7.348166678989794;134.24896011959353;-2.576724310296087
[709.0, 5.0];-3.1721742617162687;34.216860841754254;587.1637667341412;1.155259699339228
[797.0, 5.0];104.19879181953378;699.5549787990175;70.4356632456091;38.45554414544224
[797.0, 93.0];72.1047020430866;780.6545206774617;99.86679143416598;9.03793216178208
[709.0, 93.0];-1.508667301840486;-1.3636069870538912;-1.3996880517534303;82.24226275991283
[797.0, 181.0];96.8809634060315;850.112565368044;244.70265197281117;-1.0233815200166616
[797.0, 269.0];105.91645852230184;873.4401054355461;85.42534953898154;-0.44559035603335345
[709.0, 269.0];-0.3435986460422061;-0.19;66.50890063297712;-0.19
[621.0, 181.0];0.0;-0.1;-0.32618908118672163;0.0
[621.0, 93.0];-0.3183276893267865;2.6352405047002074;-0.5236994311636056;-0.829872249554037
[709.0, 181.0];12.910273742032954;-0.6079525995772492;-0.8370078545014168;-0.6154519370362089
[269.0, 533.0];-1.109588497433309;-1.1810054760587576;-1.1489480365626858;-1.2586564981587085
[357.0, 445.0];-0.5942605747467062;-0.5853636294681916;-0.3635935825095612;-0.6335906290055386
[445.0, 357.0];5.441875290784456;-0.19;-0.19;-0.2967008536983691
[357.0, 269.0];-1.3767439887663728;-1.495138656052213;9.89405220324445;-1.5845049475049953
[445.0, 181.0];2.4880751132594097;0.2418016429215502;51.87599130176952;-1.0257596086072347
[797.0, 357.0];155.14670257549344;8.03135601409035;251.44237017917476;942.0036198539622
[709.0, 357.0];-0.2883157611458933;237.06282385999165;167.76789194217307;999.9734386011124
goal;0.0;0.0;0.0;0.0
[357.0, 357.0];-1.1592766784207909;-1.0611393150286512;-0.9678468847236912;-1.2005837850783316
[445.0, 93.0];-2.5719247411274773;45.45749259814289;259.77574533491776;-2.818061214611179
[797.0, 445.0];161.27525290106274;-0.1;-0.19;-0.19
[709.0, 445.0];-0.1;-0.1;43.91795870249829;0.0
[445.0, 269.0];10.075360254994552;-0.5771608354861;-0.6213582995077407;-0.6493990740828925
[533.0, 181.0];-0.5693008812543322;5.8638703546361075;-0.394361339530968;-0.4503253402900033
[533.0, 93.0];-0.837065345577293;133.52248994142087;-0.8728112372649275;-1.055314375686881
[797.0, 533.0];-0.11000000000000001;0.0;0.0;0.0
[533.0, 269.0];0.0;0.0;-0.08911621577855505;-0.3089767373328235
