;Rewards
0;-285.6508526206998
1;-303.61902109066733
2;-81.20106804844332
3;-92.88980232398036
4;-231.83360979742676
5;-170.76564134101932
6;-33.25435710507074
7;17.8208883684131
8;-153.961436693039
9;-10.033903136942925
10;-74.13524214374104
11;-91.90425369371069
12;-5.06149782467152
13;43.93631862687098
14;63.39625766248793
15;18.57550713738148
16;90.29392600054169
17;-26.47655698629127
18;141.1649878461856
19;79.13749485880103
20;86.7084626819589
21;144.28668735177465
22;346.33717020822
23;294.62206862533446
24;112.93186467654846
25;266.25214827766365
26;215.33529212857613
27;76.92292651445526
28;168.9018446449977
29;186.89003680831502
30;351.00049570160354
31;218.22070923288433
32;176.75704991979526
33;234.95885923849625
34;130.109013994103
35;314.56650026566643
36;254.91280028470976
37;404.2368552379842
38;268.16694212160405
39;271.27788870410177
40;448.9727015062229
41;262.943461049112
42;403.8864168973977
43;273.43487285618687
44;347.28982981037615
45;302.6656873008691
46;257.6843186165005
47;345.4358223686505
48;216.63549766509178
49;326.396407814456
50;349.88700828581045
51;380.08527377187136
52;387.5516342764621
53;676.877462855524
54;374.39460860562133
55;334.01639650129994
56;375.49352104570403
57;406.057716863077
58;373.7613811554127
59;447.82005932046775
60;412.18594920841826
61;389.1096169997977
62;425.9922388510388
63;599.1072297146153
64;427.2531068760687
65;361.22593087899065
66;418.1689026822187
67;516.0478973230196
68;438.99220309361516
69;393.11688421957615
70;450.44813278960146
71;456.2887223306691
72;445.34996201115933
73;613.0381339196496
74;462.6369852743674
75;442.3217819674648
76;443.02802691747786
77;483.5589066507677
78;575.8232612675537
79;438.3401981390656
80;484.636199180077
81;430.6904406403671
82;511.46656806493377
83;494.0038025511965
84;627.9428406945649
85;724.8209064359555
86;507.69428058863474
87;497.09010475401305
88;537.0219688826688
89;574.4480082875109
90;543.6262119198341
91;558.3367647358862
92;580.9085399658865
93;497.9592018731679
94;548.7272379540975
95;529.5334049376738
96;559.5348885603539
97;673.2450296805406
98;552.4866042169313
99;541.581532605281
100;523.4228662674507
101;579.5510750748246
102;560.9795625421785
103;560.9790086638303
104;565.9636685601026
105;515.4427218391415
106;632.7735781611542
107;646.405676246643
108;479.84267175652076
109;584.9628001139616
110;600.3153711710797
111;595.586797552959
112;585.3165800111251
113;688.203522935238
114;563.8211769655113
115;610.2881275040829
116;611.4949717930427
117;649.7932957198184
118;615.7388123600912
119;619.1886020442578
120;619.624835980221
121;594.1892329093236
122;609.591212279689
123;637.168647003718
124;632.1190823378964
125;606.4387858742243
126;652.7636131805194
127;658.8547815676167
128;658.2493278240806
129;683.8750038121688
130;762.5530466690873
131;619.4176006415172
132;685.3775955369729
133;681.1705788328742
134;669.8071131188178
135;695.2049436852988
136;702.2072100132025
137;749.2690159431372
138;780.9939114316007
139;704.6586841644098
140;709.6911677137157
141;726.7412126242612
142;712.837076971141
143;747.5887240629838
144;719.1839731676939
145;1018.7964529602815
146;701.766974625987
147;833.8079864736847
148;679.4359857245573
149;669.4551859105941
150;805.4566998903831
151;859.4037630166285
152;820.6059135736173
153;736.8346015889914
154;646.8848489286556
155;705.1158955983375
156;699.7629056453987
157;717.1762582491534
158;682.8275526984688
159;722.2487755323307
160;779.6431902376446
161;778.4789355038981
162;734.0815880875707
163;707.5084647880811
164;710.3393005495328
165;986.0437589748213
166;709.8920431827527
167;660.5055359672258
168;766.3525751667129
169;717.6568560276667
170;718.3383391879386
171;719.1565049781028
172;726.5267335204306
173;699.1005712817212
174;782.870181996032
175;766.6540636312789
176;729.7208503559189
177;853.402962982032
178;678.9618847431946
179;733.199396901242
180;740.9470321581671
181;875.1821385575005
182;738.7422549959164
183;643.0966652767019
184;711.5853180385287
185;750.6718039413479
186;888.0779263602238
187;731.9361399018771
188;707.3577251236733
189;758.5122728042903
190;753.3975523780506
191;760.5377234981172
192;895.2661902247842
193;1029.8918497568068
194;758.4906358443304
195;860.6486358122459
196;700.0662950031297
197;712.2559117401861
198;773.2214370265328
199;780.087087175229
200;988.0230860375306
201;642.6153787915342
202;790.1476778322132
203;797.7312506797567
204;885.4303823503617
205;1259.5515367774185
206;803.0372415871083
207;816.5394390601973
208;808.6532116602575
209;938.2173345411453
210;765.0543800591907
211;747.0910980157363
212;815.8169568142617
213;1043.2776527642802
214;887.6410713244547
215;836.2502362195645
216;796.1297543452524
217;859.386104317803
218;839.7155499569363
219;1053.2164668139735
220;773.3725019280965
221;780.0972976286374
222;786.7799305777893
223;824.4910287060953
224;781.6976125477427
225;757.4748813608041
226;828.8083027562943
227;784.9664435650982
228;791.365589891634
229;797.7177146463595
230;894.2862012503176
231;854.5697514335247
232;886.2796833039508
233;786.1468796014349
234;792.3909117952529
235;922.5989223214876
236;775.9180122489618
237;811.104502795746
238;767.2827850352496
239;907.086196609137
240;764.1026723499684
241;792.4629035009583
242;819.5673016847337
243;792.1756501221398
244;892.3098289747546
245;824.0507285207464
246;845.963809488758
247;822.3174501352307
248;857.8837999920896
249;769.1717240616433
250;1048.2843818761971
251;875.6398428370001
252;783.9663315025073
253;859.9328499087079
254;793.1715890070382
255;819.943617438269
256;714.6915823840467
257;907.0338461053981
258;763.0153249183738
259;743.0216954394367
260;1083.5075056864212
261;810.3739456615884
262;830.0815367657066
263;783.9248935843211
264;795.5197963193998
265;798.377845963798
266;787.9044820171279
267;794.1283014246728
268;800.2855410152058
269;806.3800943080902
270;812.4156830111821
271;822.1415096975844
272;826.1781853169997
273;817.7638279418518
274;829.5830278154885
275;826.5398692388094
276;764.2833944146289
277;927.642015518567
278;828.4711243027043
279;834.3492930416585
280;871.0724333256354
281;697.2229362926346
282;829.3831626063615
283;835.470634294889
284;841.519659080153
285;847.5349914442706
286;876.5612727997832
287;857.0641372061865
288;805.0060466865941
289;964.0136376718032
290;942.2624966076893
291;829.1459991091699
292;817.6736746182617
293;1004.0349297547019
294;855.9503600752466
295;919.099091873912
296;991.5458119958387
297;867.0723191864281
298;891.8723223048812
299;859.1914682783347
300;796.8719722293922
301;921.0542329091411
302;835.8281870744775
303;822.4188134672303
304;843.3411322007514
305;1006.4579221321148
306;841.1484869987411
307;842.6626673671852
308;849.0949834938815
309;855.4590823521739
310;744.4298237433163
311;921.1924567103606
312;848.5038535742566
313;854.6824606635739
314;860.8035946708251
315;907.3306902979028
316;856.0302715950311
317;862.0190662212324
318;895.4160944367477
319;894.2676231804962
320;1117.2324345822303
321;884.852926770697
322;877.5786519429898
323;872.3374593299075
324;922.242856718154
325;1042.731086894671
326;876.7646512938401
327;641.893900810298
328;805.2904412079794
329;1025.3235562015147
330;858.9644846663227
331;734.1456163972748
332;783.5968908730199
333;880.4898162207767
334;913.8411265360144
335;844.7926859267404
336;736.6291947708319
337;902.9065229683001
338;853.5528729646712
339;1041.3152602475234
340;853.2160705055189
341;1119.0165381125119
342;842.3763186416968
343;848.3471584089602
344;807.0746325631869
345;887.4829940556083
346;852.8265249998838
347;875.7716005675672
348;1356.1760551596685
349;848.1946600503952
350;912.4208221148344
351;908.5085908707738
352;866.0861144167561
353;905.4163664287232
354;828.2237700697724
355;1149.0944659041415
356;826.0445071507036
357;843.3754094141514
358;711.5635568868365
359;798.2302970093087
360;804.2411672727583
361;764.9535772720635
362;811.2640877883025
363;839.2484908851998
364;825.2989840322241
365;803.550507626765
366;938.4275985351142
367;680.1905610534548
368;818.3159268901409
369;905.9986955650036
370;1108.9580799817504
371;889.5864245515224
372;810.1377981591995
373;727.6474760551341
374;764.8612480480253
375;860.3501933723205
376;813.756128644296
377;819.6587879115386
378;844.3245971994495
379;853.3542073490628
380;827.3315332399466
381;824.1897153144755
382;835.8467507394446
383;773.8051542747332
384;838.4811035570269
385;844.5480684081992
386;850.5841340066413
387;978.7393868204117
388;858.7445247540813
389;929.737204056845
390;1050.8860647904694
391;854.1953060406781
392;860.036793237572
393;949.5225621801208
394;890.409374224952
395;932.008140507661
396;889.0953425831183
397;1015.3302930644554
398;889.509671500311
399;877.2403514581692
400;801.1785155307673
401;983.7672480189706
402;905.8626006359523
403;784.4661922973658
404;838.3596073365093
405;939.4047356277758
406;837.3246001433874
407;875.7625552071804
408;794.7397761767925
409;879.8814682892503
410;1021.28843879479
411;744.1307679290385
412;1088.2276921830016
413;832.3500157838473
414;834.4945703849578
415;840.8573068748815
416;879.1802568563278
417;757.7375929542798
418;1515.3558734537219
419;859.0256954081983
420;1007.8059531470476
421;836.9958696895178
422;835.2630116999485
423;871.1292734753786
424;831.0883499380166
425;837.4407340951193
426;843.7848005242579
427;878.6037977601188
428;854.298365325139
429;819.9514948399335
430;871.9566563634662
431;824.4927799650809
432;883.1248650024777
433;798.6107318431309
434;1033.6034306479758
435;866.6018616834381
436;882.5065283040014
437;1007.2515105455766
438;868.2942227152262
439;1008.7089964661131
440;871.5957889251861
441;868.1725487014075
442;874.4952170783095
443;906.5767999192108
444;1431.5896174720722
445;937.3930811815087
446;879.1561762411029
447;1069.6134167429266
448;918.8642917097623
449;1319.8437223853637
450;922.5826715940741
451;922.8381907108196
452;906.4028202403863
453;870.8590200603285
454;991.6772862874072
455;931.9994322907189
456;954.9019499950637
457;879.7220230044402
458;952.8189937058783
459;866.0531858347688
460;869.2765990900202
461;824.815555452735
462;893.5474501424637
463;946.3756397433679
464;862.1203838889528
465;951.3429549598259
466;891.7458199871603
467;928.7897045086436
468;897.6974935192738
469;864.2722921554496
470;995.2039880655632
471;1008.3956215738676
472;856.9111328787069
473;867.4034110263133
474;816.1702117333543
475;857.4987107407171
476;1111.43001207123
477;937.2270500219947
478;898.7807852769954
479;857.9156018675271
480;925.5119931740933
481;877.2119744469776
482;1070.8276348164416
483;898.1006216396438
484;912.3843950495041
485;1223.1151778938367
486;953.9284857911307
487;868.8566114891848
488;896.7649544398055
489;1121.2502889760501
490;1037.9571126341602
491;1120.959697538153
492;942.9853104600638
493;839.4250946569232
494;894.5268265553882
495;885.6962880715753
496;867.4966777872621
497;779.1107543773464
498;1274.3162505019448
499;1004.7602957641755
500;1212.6694415133175
501;968.6342864488563
502;850.8360670993688
503;856.380131124803
504;870.593414428289
505;1114.3242304646449
506;921.4428478811296
507;902.5760834986961
508;860.3887301452828
509;866.3018954517502
510;872.1990778537768
511;878.0783426137402
512;870.9888585123297
513;1160.1759904983126
514;1032.9888428937982
515;883.2772044465337
516;1127.4734747790744
517;869.2427510308182
518;874.9649575225158
519;906.5758332800249
520;881.9149465599669
521;911.3736252676272
522;856.800154490202
523;874.3454795023472
524;882.5460182698405
525;1022.1433324835293
526;850.063557293141
527;1605.4758432279154
528;901.7447691483192
529;871.5393042227579
530;894.2759468292284
531;866.8521469330765
532;843.3074752814348
533;888.4000902801351
534;1111.0373189375232
535;881.1951060617455
536;908.2808264807247
537;975.8580029785212
538;874.5755354904547
539;879.9625620816555
540;970.046820204396
541;1163.270318280699
542;880.7391399445041
543;885.9803415974111
544;1062.8838661516997
545;886.0118562905388
546;798.1080134032461
547;847.9946547728184
548;824.8663158306899
549;880.9946484608618
550;839.788026298751
551;975.2955583538503
552;1040.1404160463744
553;848.9399827558152
554;889.0655945709632
555;842.2683858851021
556;858.216521035524
557;958.0458670270136
558;918.9275390565701
559;955.5028932870955
560;1202.8333457561416
561;815.7465351334304
562;883.191994050534
563;904.0495478765699
564;890.5446531611483
565;895.9975420746539
566;1550.0445494019684
567;888.4087149779646
568;954.0651024278632
569;857.5563761930175
570;1155.6609678064924
571;1003.238083295757
572;893.4984441325096
573;820.321993726428
574;1183.0150979297428
575;868.9476945305926
576;874.3757174134894
577;879.798450967781
578;1025.5097779411656
579;849.0831492082345
580;973.1486376761472
581;910.3257146925334
582;883.1789911137234
583;888.5028620567323
584;970.2220968327968
585;895.3188384914413
586;900.5982462211368
587;905.8627071507153
588;864.8151850678564
589;1066.3422104558033
590;1000.3472121583079
591;1134.8370758366455
592;909.5595634424083
593;1302.0409268665828
594;926.6711487282591
595;1240.4440176918104
596;914.5807250760929
597;956.6719999429251
598;961.5149004770203
599;936.4821697271639
600;1044.8376740869082
601;979.6882595225686
602;1084.8084606518416
603;1044.204189049258
604;1190.5404492018697
605;889.8023632732702
606;895.147181528921
607;1027.2675720211728
608;944.1181276538723
609;1064.2254799757784
610;911.4841116775399
611;896.0953456988461
612;945.124775239223
613;895.9944271751945
614;927.8777385446342
615;979.8992380108041
616;759.6148067209688
617;1039.4563862670075
618;915.5534857722016
619;882.9185880796879
620;1041.7198172183903
621;835.0364208741757
622;885.5700942130218
623;942.0454185019228
624;954.6486102414701
625;1035.012483397144
626;944.7825473703342
627;928.220290520743
628;832.0207523130364
629;914.6888934404867
630;899.1913337022247
631;904.5068245995656
632;943.2984675682374
633;992.426963849002
634;1004.3893769950423
635;921.8720467531898
636;909.8685159494689
637;1178.4528324918438
638;911.7473480656979
639;992.0954107175903
640;1016.4317174149271
641;917.5265770189246
642;1039.3243224295634
643;940.3014041613374
644;852.6784773238658
645;1324.5676531715064
646;907.9639254126482
647;876.916239538429
648;1318.6635912184522
649;1038.6648237061368
650;909.2660698082552
651;914.3750181583775
652;1166.3506105076567
653;931.3001383339836
654;921.2844121173625
655;885.2065749934409
656;912.6099338754705
657;918.0781699218865
658;937.7515009229303
659;975.3534314916978
660;998.5005363632722
661;908.9940717552761
662;1022.83202602604
663;910.4458977714876
664;915.7624098079832
665;887.0328327449467
666;1060.7795649459124
667;1036.9390451265697
668;938.5008983303803
669;979.4952156100396
670;928.0633486011664
671;1009.3815962542219
672;916.0687122579559
673;921.3858632902325
674;1104.0871909428201
675;983.8902390221422
676;925.8250572428135
677;887.4220264273215
678;1240.4558199029007
679;979.0343202552237
680;863.5147643545677
681;949.121775197071
682;886.8726290427967
683;896.4524834176195
684;1131.000335299151
685;944.3919876812458
686;940.0736516974143
687;1081.1151504919796
688;968.3155838634182
689;978.4669537992763
690;1283.2208791859234
691;856.3779234528163
692;994.2110113660817
693;933.744733180187
694;898.4174281965343
695;1030.9573016286733
696;899.2121383232031
697;984.416740516851
698;1198.6555119193636
699;903.6602596278294
700;978.9536995040223
701;943.1763139088741
